,Chanel,Clinique,Olay / Oil of Olay,Lanc™me
Average,3.47446458,4.210873147,3.514003295,4.342668863
,,,,
All Fans,3.646496815,4.407643312,3.821656051,4.51910828
18-34 Fans,3.742647059,4.455882353,3.801470588,4.441176471
35-44 Fans,3.611111111,4.388888889,3.791666667,4.555555556
45+ Fans,3.547169811,4.358490566,3.867924528,4.594339623
,,,,
All Non-Fans,3.290102389,4,3.184300341,4.153583618
18-34 Non-Fans,3.327272727,3.945454545,3.042424242,4.060606061
35-44 Non-Fans,3.263888889,4.152777778,3.361111111,4.166666667
45+ Non-Fans,3.214285714,3.964285714,3.375,4.410714286